config_id,lr,batch_size,weight_decay,warmup_ratio,fold,epoch,train_loss,train_precision,train_recall,train_f1,train_accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy
1,1e-05,16,0.0,0.03,3,1,0.6767302369529551,0.5752256770310933,0.6271186440677966,0.6000523149359142,0.5651308304891922,0.6502835923625577,0.6317991631799164,0.6088709677419355,0.6201232032854209,0.6247464503042597
1,1e-05,16,0.0,0.03,3,2,0.6360248800028454,0.6582914572864321,0.644614543466375,0.6513812154696133,0.6410693970420933,0.6746156186826767,0.582089552238806,0.7862903225806451,0.6689536878216124,0.6085192697768763
1,1e-05,16,0.0,0.03,3,3,0.5723202614621683,0.7318840579710145,0.7178786221979223,0.7248136903118962,0.7164391353811149,0.6649930832847473,0.597864768683274,0.6774193548387096,0.6351606805293005,0.6085192697768763
1,1e-05,16,0.0,0.03,3,4,0.5003753839568659,0.7948430493273543,0.7752870420995079,0.7849432604483808,0.7790102389078498,0.7279567833869688,0.7280701754385965,0.3346774193548387,0.4585635359116022,0.6024340770791075
1,1e-05,16,0.0,0.03,3,5,0.43893752612850884,0.8465063001145475,0.8080918534718425,0.8268531468531468,0.823947667804323,0.7164510382759955,0.7151898734177216,0.45564516129032256,0.5566502463054187,0.6348884381338742
1,1e-05,16,0.0,0.03,4,1,0.6820428654483465,0.559375,0.594355285002767,0.576334853769788,0.5488571428571428,0.6717024464761058,0.7345132743362832,0.32677165354330706,0.45231607629427795,0.592292089249493
1,1e-05,16,0.0,0.03,4,2,0.6431287105224993,0.6337730870712401,0.6646375207526287,0.6488384656942193,0.6285714285714286,0.703907004287166,0.7211538461538461,0.2952755905511811,0.41899441340782123,0.5780933062880325
1,1e-05,16,0.0,0.03,4,3,0.5824942439114122,0.7146080090242527,0.7011621472053127,0.7078212290502793,0.7011428571428572,0.7052698654513205,0.712,0.35039370078740156,0.46965699208443273,0.592292089249493
1,1e-05,16,0.0,0.03,4,4,0.5048965262631847,0.7792642140468228,0.7736579966795795,0.7764509858372675,0.77,0.8041055644712141,0.7528089887640449,0.2637795275590551,0.39067055393586003,0.5760649087221096
1,1e-05,16,0.0,0.03,4,5,0.44655669912627843,0.8171140939597316,0.8085224128389596,0.8127955493741308,0.8077142857142857,0.8181940442131411,0.719626168224299,0.3031496062992126,0.4265927977839335,0.5801217038539553
1,1e-05,16,0.0,0.03,5,1,0.681607121201955,0.5431400282885431,0.6504799548277809,0.591983556012333,0.5466742791892664,0.725572811019036,0.7241379310344828,0.07749077490774908,0.14,0.4766734279918864
1,1e-05,16,0.0,0.03,5,2,0.6456607837383062,0.6495619524405507,0.5861095426312818,0.616206589492431,0.6308878104481873,0.6788047379063021,0.7333333333333333,0.36531365313653136,0.4876847290640394,0.5780933062880325
1,1e-05,16,0.0,0.03,5,3,0.5999550388011758,0.6920395119116792,0.6725014116318464,0.6821305841924399,0.683128746788467,0.6806233736776537,0.74375,0.43911439114391143,0.5522041763341067,0.6085192697768763
1,1e-05,16,0.0,0.03,5,4,0.537245996194343,0.7546620046620046,0.7312252964426877,0.7427588184685977,0.7439337710533828,0.6907355343141863,0.7237569060773481,0.4833948339483395,0.5796460176991151,0.6146044624746451
1,1e-05,16,0.0,0.03,5,5,0.48143183926469113,0.8058997050147493,0.7713156408808582,0.7882285054818234,0.7904653154439052,0.721947822839983,0.7391304347826086,0.43911439114391143,0.5509259259259259,0.6064908722109533
2,1e-05,16,0.0,0.06,1,1,0.6785344465138161,0.5681498829039813,0.6716500553709857,0.6155798020806902,0.5676369863013698,0.6949348949616955,0.7184466019417476,0.28793774319066145,0.4111111111111111,0.5708502024291497
2,1e-05,16,0.0,0.06,1,2,0.6477423170113672,0.6327387198321092,0.6677740863787376,0.6497844827586207,0.6289954337899544,0.6528720971076719,0.6881188118811881,0.5408560311284046,0.6056644880174292,0.6336032388663968
2,1e-05,16,0.0,0.06,1,3,0.5744109342903851,0.7123966942148761,0.7159468438538206,0.7141673570836785,0.7046232876712328,0.6662148727524665,0.7225806451612903,0.4357976653696498,0.5436893203883495,0.6194331983805668
