config_id,lr,batch_size,weight_decay,warmup_ratio,fold,epoch,train_loss,train_precision,train_recall,train_f1,train_accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy
1,1e-05,16,0.0,0.03,1,1,0.6898862251408024,0.5317177476835353,0.43121387283236995,0.4762208745611235,0.5316780821917808,0.6782769349313551,0.5819397993311036,0.651685393258427,0.6148409893992933,0.5587044534412956
1,1e-05,16,0.0,0.03,1,2,0.67242580951621,0.5767414403778041,0.5647398843930636,0.570677570093458,0.5804794520547946,0.6758705973625183,0.5749318801089919,0.7902621722846442,0.6656151419558359,0.5708502024291497
1,1e-05,16,0.0,0.03,1,3,0.6288431685536964,0.6502057613168725,0.6393063583815028,0.6447099970853979,0.6521118721461188,0.7269054881988033,0.6692307692307692,0.3258426966292135,0.43828715365239296,0.548582995951417
1,1e-05,16,0.0,0.03,1,4,0.5569102629406811,0.7234669811320755,0.7092485549132947,0.7162872154115587,0.7226027397260274,0.7474354813175816,0.56657223796034,0.7490636704119851,0.6451612903225806,0.5546558704453441
1,1e-05,16,0.0,0.03,1,5,0.49295159480343126,0.7809798270893372,0.7832369942196532,0.7821067821067821,0.7845319634703196,0.767811450266069,0.5805471124620061,0.7153558052434457,0.6409395973154363,0.5668016194331984
1,1e-05,16,0.0,0.03,2,1,0.6900956140805597,0.5293573740175682,0.6465273856578204,0.5821047280122014,0.5298827566485559,0.684314158654982,0.5252808988764045,0.7759336099585062,0.626465661641541,0.548582995951417
1,1e-05,16,0.0,0.03,2,2,0.6728121662793094,0.5818452380952381,0.6623376623376623,0.6194877211513071,0.5879325135830712,0.7000982011518171,0.518957345971564,0.9087136929460581,0.6606334841628959,0.5445344129554656
1,1e-05,16,0.0,0.03,2,3,0.6517111226303937,0.6184068891280947,0.6487859966120836,0.6332322953981813,0.6193880468973406,0.6973494272078237,0.5244956772334294,0.7551867219917012,0.6190476190476191,0.5465587044534413
1,1e-05,16,0.0,0.03,2,4,0.6011788884526519,0.6710388247639034,0.7221908526256352,0.6956758226815338,0.6800114383757506,0.7311474930855536,0.536986301369863,0.8132780082987552,0.6468646864686468,0.5668016194331984
1,1e-05,16,0.0,0.03,2,5,0.5551915270824955,0.722885032537961,0.7526821005081875,0.7374827109266944,0.7286245353159851,0.742013729387714,0.5316091954022989,0.7676348547717843,0.6281833616298812,0.5566801619433198
1,1e-05,16,0.0,0.03,3,1,0.6924458958885886,0.5259341885108756,0.5300730747611018,0.5279955207166853,0.5204778156996587,0.6863208836124789,0.5245901639344263,0.8,0.6336633663366337,0.5496957403651116
